b a g i0
3.958963649233190329e-01 5.958050258215573791e+01 2.500000000000000000e-01 2.084993734601879201e+00
3.960193705668715314e-01 6.857010415240796419e+01 2.500000000000000000e-01 2.076850264449299655e+00
3.957067288178579556e-01 5.956458750573516170e+01 2.500000000000000000e-01 2.098661115424397483e+00
3.980498676841658368e-01 9.758609894718537703e+01 2.500000000000000000e-01 2.006030463676032216e+00
3.965895199404753102e-01 7.527699025249181375e+01 2.500000000000000000e-01 2.059954291802676973e+00
3.958395111796366161e-01 5.028267858618082897e+01 2.500000000000000000e-01 2.084592546062764118e+00
3.958843641710907413e-01 9.945756326714774787e+01 2.500000000000000000e-01 2.084918483528562572e+00
3.969983663891809011e-01 4.746898114871340368e+01 2.500000000000000000e-01 2.041906332916960665e+00
3.972663231839054232e-01 3.077739416556940810e+01 2.500000000000000000e-01 2.027906451088306472e+00
3.966811548632591666e-01 7.973312936659517902e+01 2.500000000000000000e-01 2.055497080482625805e+00
3.972816100305978093e-01 2.768712187475891540e+01 2.500000000000000000e-01 2.022092820223962306e+00
3.948485548543727019e-01 1.916357741895874867e+01 2.500000000000000000e-01 2.114509049614009761e+00
3.980506371193476278e-01 6.524274492645218970e+01 2.500000000000000000e-01 2.000479842410963549e+00
3.973126658619658969e-01 6.451572338485397040e+01 2.500000000000000000e-01 2.024497499491967556e+00
3.976380696425808048e-01 4.572916944082329138e+01 2.500000000000000000e-01 2.022613156255541611e+00
3.958286856470693005e-01 3.857295939713790744e+01 2.500000000000000000e-01 2.083195830175940344e+00
3.957325312532742334e-01 3.138290928965416171e+01 2.500000000000000000e-01 2.079108298815659506e+00
3.970051987865662602e-01 1.286665412177655021e+01 2.500000000000000000e-01 2.039905363758063306e+00
3.958935956411903101e-01 9.229556030345139561e+01 2.500000000000000000e-01 2.083735431952313366e+00
3.975977291502068023e-01 6.393040396548042281e+01 2.500000000000000000e-01 2.020806497828870008e+00
3.974695140708708885e-01 9.194585888908166282e+01 2.500000000000000000e-01 2.016895371169742823e+00
3.957204829071679919e-01 5.269166679875579007e+01 2.500000000000000000e-01 2.095624384359647152e+00
3.945103633744874161e-01 4.503436784684139838e+01 2.500000000000000000e-01 2.136751184941291459e+00
3.956090603415033935e-01 1.046170698689788914e+01 2.500000000000000000e-01 2.089904850530807323e+00
3.968578094519522037e-01 9.334984647914670575e+01 2.500000000000000000e-01 2.040857960767203050e+00
3.948702781574587872e-01 4.544834729286560560e+01 2.500000000000000000e-01 2.116998671894182671e+00
3.989111995379522324e-01 4.111965519267632629e+01 2.500000000000000000e-01 1.965650685185264424e+00
3.969949221964529928e-01 6.830959456898008852e+01 2.500000000000000000e-01 2.050961617613799248e+00
3.965389782124768558e-01 1.445258369920586006e+01 2.500000000000000000e-01 2.057835111545016193e+00
3.958945619469443900e-01 1.983593497774730707e+01 2.500000000000000000e-01 2.081921162490830479e+00
3.979330807135511017e-01 4.618203568162980588e+01 2.500000000000000000e-01 2.009994165944955391e+00
3.976191215886092367e-01 1.868604815180989576e+01 2.500000000000000000e-01 2.017553675927348689e+00
3.971663981805877430e-01 8.282584142753597689e+01 2.500000000000000000e-01 2.029162588064196360e+00
3.978375885955485747e-01 7.325374458026718116e+01 2.500000000000000000e-01 2.014005224392412252e+00
3.967261486828619899e-01 3.413857154502311886e+01 2.500000000000000000e-01 2.052289207196861920e+00
3.955174301534133408e-01 2.506046817759120771e+01 2.500000000000000000e-01 2.101506050047301954e+00
3.957511101235766104e-01 6.092387647383857541e+01 2.500000000000000000e-01 2.097514339110872150e+00
3.942996920115092174e-01 9.697130894832140768e+01 2.500000000000000000e-01 2.141260350837101090e+00
3.969215337520820563e-01 5.745360644420764373e+01 2.500000000000000000e-01 2.041067017225154601e+00
3.974783310724767094e-01 6.364487442889171831e+01 2.500000000000000000e-01 2.016620027196105447e+00
3.968624332347228667e-01 6.595796370201195202e+01 2.500000000000000000e-01 2.055004922867522676e+00
3.959475107271180350e-01 1.994058338077383397e+01 2.500000000000000000e-01 2.075965252578814368e+00
3.971844908724780354e-01 3.623487957028517314e+01 2.500000000000000000e-01 2.037750188956786168e+00
3.958495524753993799e-01 5.117487019655667524e+01 2.500000000000000000e-01 2.086886193732092831e+00
3.973327064875359360e-01 8.450716596707076178e+01 2.500000000000000000e-01 2.023306062889019596e+00
3.965681969395759565e-01 5.696412175616602269e+01 2.500000000000000000e-01 2.053288677863686740e+00
3.966459356883775822e-01 9.488188656784712904e+00 2.500000000000000000e-01 2.045114171423429994e+00
3.954461504520921378e-01 5.948955407842659326e+01 2.500000000000000000e-01 2.090621992077109859e+00
3.961474241670669416e-01 7.812632553626819742e+01 2.500000000000000000e-01 2.066068966756164915e+00
3.979209470302003115e-01 4.938517638631672924e+01 2.500000000000000000e-01 2.002729081871116978e+00
3.958768808505390147e-01 2.395113426508245169e+01 2.500000000000000000e-01 2.073753064380919220e+00
3.959259779771251986e-01 5.615278727076791654e+01 2.500000000000000000e-01 2.069662283702770722e+00
3.952554945225327798e-01 4.191233382353048853e+01 2.500000000000000000e-01 2.108908931638472595e+00
3.963379890146075946e-01 9.079508560566149811e+01 2.500000000000000000e-01 2.061143893843271346e+00
3.966059278849033976e-01 4.890325274706080450e+01 2.500000000000000000e-01 2.061143031692554750e+00
3.974982029150818663e-01 9.164242127823195005e+01 2.500000000000000000e-01 2.030015815070921992e+00
3.970066892598834163e-01 1.959012107921216383e+00 2.500000000000000000e-01 2.037648390836459988e+00
3.951064061084504364e-01 4.014192980024965607e+01 2.500000000000000000e-01 2.112569405654749488e+00
3.955204732487224151e-01 8.432813692239641057e+01 2.500000000000000000e-01 2.083556430647174995e+00
3.950217744578703449e-01 6.076750676064019530e+01 2.500000000000000000e-01 2.112039732698050454e+00
3.945383160478379003e-01 6.118777567965139497e+00 2.500000000000000000e-01 2.134782831115399571e+00
3.959717048554289853e-01 7.414822761770670922e+01 2.500000000000000000e-01 2.085883099793005790e+00
3.973238934797824196e-01 3.953253938623310404e+01 2.500000000000000000e-01 2.026997159113628655e+00
3.962147636225130665e-01 4.675894031773950132e+01 2.500000000000000000e-01 2.070846108737336877e+00
3.971305584350449669e-01 1.750610184197590158e+01 2.500000000000000000e-01 2.039262384365474468e+00
3.958935956411903101e-01 9.229556030345139561e+01 2.500000000000000000e-01 2.083735431952313366e+00
3.957884816224747637e-01 9.462581573013883940e+01 2.500000000000000000e-01 2.095438797731569380e+00
3.953259241458349504e-01 3.132313967898215523e+01 2.500000000000000000e-01 2.111652723554467315e+00
3.967211138052740282e-01 3.395712088147384122e+01 2.500000000000000000e-01 2.057605937196943291e+00
3.937518599355492310e-01 5.359108769565371233e+01 2.500000000000000000e-01 2.166464147302908039e+00
3.965605218421157097e-01 4.763240923717448538e+01 2.500000000000000000e-01 2.056237317078557947e+00
3.949933426881612197e-01 4.924521647231029675e+01 2.500000000000000000e-01 2.112550724771559807e+00
3.953788896818529741e-01 8.803258237981054890e+01 2.500000000000000000e-01 2.109269011681254913e+00
3.962170340801830504e-01 7.458982735930943875e+01 2.500000000000000000e-01 2.062643266294683198e+00
3.943152673163095590e-01 7.126141725420535522e+01 2.500000000000000000e-01 2.141886081648628704e+00
3.977381414533024406e-01 5.796235668515368644e+01 2.500000000000000000e-01 2.020302714209659900e+00
3.962803418599475935e-01 6.568570614859251577e+01 2.500000000000000000e-01 2.073922910247902873e+00
3.955906453936374745e-01 4.658104977898702970e+01 2.500000000000000000e-01 2.093486955355132295e+00
3.975071104862541449e-01 3.887284026521291480e+01 2.500000000000000000e-01 2.008837006800153091e+00
3.951838345860897994e-01 5.293560284668317450e+01 2.500000000000000000e-01 2.107812098475078333e+00
3.971093891689741473e-01 3.528415640995139313e+01 2.500000000000000000e-01 2.031211327153604085e+00
3.977464531253838143e-01 6.174283997147674086e+01 2.500000000000000000e-01 2.000761145957457021e+00
3.946123555383548309e-01 5.648538779838112589e+01 2.500000000000000000e-01 2.118938592724747938e+00
3.975745582256946520e-01 2.809345738560276473e+01 2.500000000000000000e-01 2.030901664850009780e+00
3.945441209365200264e-01 4.676339210143083847e+01 2.500000000000000000e-01 2.131805533658257090e+00
