weight logl b a g i0
0.000000000000000000e+00 -1.321130705479636562e+14 7.858884502602399014e-01 2.707673228126749043e-01 8.313223809213619031e-01 1.532487127545937300e-01
0.000000000000000000e+00 -1.310964834267663438e+14 9.563261868822536815e-01 4.358637414134501897e-01 6.567943942769907117e-01 1.736778556877707214e-01
0.000000000000000000e+00 -1.308906614544087812e+14 5.707764526346319478e-01 1.057724464283812393e-01 8.640232503807626641e-01 5.384056755759810686e-01
0.000000000000000000e+00 -1.218741192798509531e+14 8.274467978355851683e-01 3.036536610859422725e-01 4.985134537587092574e-01 5.650819060099265823e-02
0.000000000000000000e+00 -1.195828379193324844e+14 7.574774874651494239e-01 3.045021987213720749e-01 8.950062635227175045e-01 5.930140141439734780e-01
0.000000000000000000e+00 -1.160353076711559688e+14 8.695951793758743831e-01 4.415763487821849909e-01 9.643385722071613486e-01 9.403965378908925032e-01
0.000000000000000000e+00 -1.051319191233272812e+14 6.536255195658300376e-01 2.297975242861864942e-01 7.612671279964206006e-01 6.939372332254333253e-01
0.000000000000000000e+00 -1.017380671134842344e+14 9.110943336286847494e-01 4.956160286873377840e-01 8.897316777299746349e-02 2.765256135749076805e-01
0.000000000000000000e+00 -1.012397497504278281e+14 8.682373636477557222e-01 4.876630285570641155e-01 8.669298930592214125e-01 8.979442231510393890e-01
0.000000000000000000e+00 -1.002633510072982500e+14 6.741046592059439790e-01 2.455522318505012347e-01 3.159719110671380671e-01 3.998648266882679492e-01
0.000000000000000000e+00 -1.002229101887164375e+14 6.293502168307002487e-01 2.144049421642603148e-01 9.309390846457888946e-01 7.449654828041765153e-01
0.000000000000000000e+00 -1.000523240152765156e+14 7.941555105322564145e-01 3.658127170309805054e-01 1.720562926038137208e-01 2.461663296557033975e-01
0.000000000000000000e+00 -9.939440247539648438e+13 8.096808085106418362e-01 4.016760091803232013e-01 4.576720829139466762e-01 4.094421790403034445e-01
0.000000000000000000e+00 -9.708734826399450000e+13 8.880712266134340727e-01 5.256648645381364338e-01 6.324624142957032680e-01 8.744694600678015739e-01
0.000000000000000000e+00 -9.650901868448973438e+13 6.724406179073657563e-01 2.740345001021226023e-01 9.200724012804696317e-01 8.121545695782466101e-01
0.000000000000000000e+00 -9.395514444406657812e+13 8.367449699433863186e-01 4.732774480817854013e-01 2.661693969247569402e-01 7.719585309309501264e-01
0.000000000000000000e+00 -9.384761418579048438e+13 9.615601420081917317e-01 4.582188781828573365e-01 3.427666971151410724e-02 5.804249693359908591e-03
0.000000000000000000e+00 -9.303713403453364062e+13 5.748774632502621218e-01 1.586401797840910621e-01 3.083661084673061659e-02 6.080502680862894804e-01
0.000000000000000000e+00 -9.235083123787670312e+13 8.153293828947132393e-01 4.598743810475085514e-01 8.833767613081716652e-01 9.223093000346270776e-01
0.000000000000000000e+00 -8.771073872218737500e+13 8.755429575436783907e-01 5.466490162096582228e-01 2.697293074806802471e-01 7.688786059845209575e-01
0.000000000000000000e+00 -8.659074037968165625e+13 9.181336237827398827e-01 6.094552013255531975e-01 8.058283020892111903e-01 8.580772026733034519e-01
0.000000000000000000e+00 -8.652488174128681250e+13 9.869569694677646776e-01 6.907243265511199271e-01 4.461119051035526972e-01 7.350892127884048888e-01
0.000000000000000000e+00 -8.130588005949681250e+13 8.973872504065478761e-01 6.100832431985687698e-01 1.589840663283083044e-01 8.432621609466633972e-01
0.000000000000000000e+00 -8.033288579916468750e+13 8.104567302620352409e-01 4.305332172028867310e-01 2.109946982626734746e-01 1.252714287281340155e-01
0.000000000000000000e+00 -7.870543074551037500e+13 7.418632773654683099e-01 3.918529570273788787e-01 1.470373519827127273e-01 4.290690739005160736e-01
0.000000000000000000e+00 -7.638417863382492188e+13 9.277396455878442749e-01 6.741825240744989678e-01 2.168069029040332607e-01 7.366058909017705325e-01
0.000000000000000000e+00 -7.089006705229460938e+13 7.495959741400057830e-01 4.171773409434693658e-01 4.372175335923392803e-01 2.707485399610145560e-01
0.000000000000000000e+00 -7.074961856598626562e+13 9.883794095894097298e-01 7.476167093019963072e-01 6.163951220730565783e-01 2.166021676912502913e-01
0.000000000000000000e+00 -6.488015188168112500e+13 9.112276771016080135e-01 6.928494603560771958e-01 1.865016176148751592e-01 3.046484628767549552e-01
0.000000000000000000e+00 -6.285138292854369531e+13 7.139735439997975108e-01 4.272380196889193904e-01 3.037606989325268847e-01 4.947982929583514267e-01
0.000000000000000000e+00 -6.261254792849170312e+13 7.618050651486270031e-01 4.986405615783414680e-01 8.463376359798724380e-02 4.600555075122630955e-01
0.000000000000000000e+00 -6.224019686180845312e+13 8.822825075917177795e-01 6.788526750960475198e-01 2.997354225810504591e-01 3.847572352080496083e-01
0.000000000000000000e+00 -6.223807542129010156e+13 9.454296536781543470e-01 7.482151242057984986e-01 1.353949558050862034e-01 2.035512923712610167e-01
0.000000000000000000e+00 -6.211332991344872656e+13 9.788529313717510005e-01 8.239838267701192764e-01 4.291747831221029985e-01 3.417657040797740242e-01
0.000000000000000000e+00 -6.159717312218042969e+13 9.953085003719561730e-01 8.880043014248226729e-01 1.697349293045528063e-01 7.166522021942942633e-01
0.000000000000000000e+00 -6.148183732678061719e+13 8.074581253180985740e-01 5.998524581720982018e-01 7.573443718014649662e-01 7.877753309336780196e-01
0.000000000000000000e+00 -6.058781286221474219e+13 8.770559068086052346e-01 6.862887900611971403e-01 1.117077278205848012e-01 4.093683071340822321e-01
0.000000000000000000e+00 -6.007672459504450781e+13 8.245216299207783761e-01 6.217819185536965776e-01 8.453691086553438705e-01 5.645640693955084055e-01
0.000000000000000000e+00 -5.930509600498285938e+13 8.753156211548809296e-01 7.241027763915579563e-01 9.647141977535063084e-01 7.946700540618027997e-01
