weight logl b a g i0
0.000000000000000000e+00 -9.939440247539648438e+13 1.619361617021283672e+00 4.076592490885199993e+01 2.500000000000000000e-01 1.023605447600758644e+01
0.000000000000000000e+00 -9.708734826399450000e+13 1.776142453226868145e+00 5.304082158927550950e+01 2.500000000000000000e-01 2.186173650169503802e+01
0.000000000000000000e+00 -9.650901868448973438e+13 1.344881235814731513e+00 2.812941551011013885e+01 2.500000000000000000e-01 2.030386423945616414e+01
0.000000000000000000e+00 -9.395514444406657812e+13 1.673489939886772637e+00 4.785446736009675561e+01 2.500000000000000000e-01 1.929896327327375261e+01
0.000000000000000000e+00 -9.384761418579048438e+13 1.923120284016383463e+00 4.636366894010287609e+01 2.500000000000000000e-01 1.451062423339977148e-01
0.000000000000000000e+00 -9.303713403453364062e+13 1.149754926500524244e+00 1.670537779862501537e+01 2.500000000000000000e-01 1.520125670215723623e+01
0.000000000000000000e+00 -9.235083123787670312e+13 1.630658765789426479e+00 4.652756372370334503e+01 2.500000000000000000e-01 2.305773250086567572e+01
0.000000000000000000e+00 -8.771073872218737500e+13 1.751085915087356781e+00 5.511825260475616517e+01 2.500000000000000000e-01 1.922196514961302327e+01
0.000000000000000000e+00 -8.659074037968165625e+13 1.836267247565479765e+00 6.133606493122976389e+01 2.500000000000000000e-01 2.145193006683258474e+01
0.000000000000000000e+00 -8.652488174128681250e+13 1.973913938935529355e+00 6.938170832856087600e+01 2.500000000000000000e-01 1.837723031971012233e+01
0.000000000000000000e+00 -8.130588005949681250e+13 1.794774500813095752e+00 6.139824107665830866e+01 2.500000000000000000e-01 2.108155402366658393e+01
0.000000000000000000e+00 -8.033288579916468750e+13 1.620913460524070482e+00 4.362278850308578626e+01 2.500000000000000000e-01 3.131785718203350388e+00
0.000000000000000000e+00 -7.870543074551037500e+13 1.483726554730936620e+00 3.979344274571050732e+01 2.500000000000000000e-01 1.072672684751290184e+01
0.000000000000000000e+00 -7.638417863382492188e+13 1.855479291175688550e+00 6.774406988337540270e+01 2.500000000000000000e-01 1.841514727254426376e+01
0.000000000000000000e+00 -7.089006705229460938e+13 1.499191948280011566e+00 4.230055675340346966e+01 2.500000000000000000e-01 6.768713499025364122e+00
0.000000000000000000e+00 -7.074961856598626562e+13 1.976758819178819460e+00 7.501405422089763420e+01 2.500000000000000000e-01 5.415054192281257173e+00
0.000000000000000000e+00 -6.488015188168112500e+13 1.822455354203216027e+00 6.959209657525164516e+01 2.500000000000000000e-01 7.616211571918873879e+00
0.000000000000000000e+00 -6.285138292854369531e+13 1.427947087999595022e+00 4.329656394920301921e+01 2.500000000000000000e-01 1.236995732395878633e+01
0.000000000000000000e+00 -6.261254792849170312e+13 1.523610130297254006e+00 5.036541559625580788e+01 2.500000000000000000e-01 1.150138768780657728e+01
0.000000000000000000e+00 -6.224019686180845312e+13 1.764565015183435559e+00 6.820641483450870624e+01 2.500000000000000000e-01 9.618930880201240541e+00
0.000000000000000000e+00 -6.223807542129010156e+13 1.890859307356308694e+00 7.507329729637405080e+01 2.500000000000000000e-01 5.088782309281524974e+00
0.000000000000000000e+00 -6.211332991344872656e+13 1.957705862743502001e+00 8.257439885024180626e+01 2.500000000000000000e-01 8.544142601994350272e+00
