logz logzerr logvol nlive logl logwt insert_order
-1.000523240152826562e+14 4.642602347269540405e+11 -1.450000000000000733e-01 4.000000000000000000e+02 -9.939440247539648438e+13 -9.939440247540262500e+13 1.820000000000000062e+00
-9.939440247540262500e+13 6.728221860108316650e+11 -1.475000000000000755e-01 4.000000000000000000e+02 -9.708734826399450000e+13 -9.708734826400064062e+13 9.549999999999999600e-01
-9.708734826400064062e+13 1.485190005398178711e+12 -1.500000000000000777e-01 4.000000000000000000e+02 -9.650901868448973438e+13 -9.650901868449587500e+13 1.849999999999999978e-01
-9.650901868449587500e+13 1.421847725115458496e+12 -1.525000000000000799e-01 4.000000000000000000e+02 -9.395514444406657812e+13 -9.395514444407271875e+13 1.469999999999999973e+00
-9.395514444407271875e+13 2.210600860866660156e+12 -1.550000000000000822e-01 4.000000000000000000e+02 -9.384761418579048438e+13 -9.384761418579662500e+13 4.699999999999999734e-01
-9.384761418579662500e+13 4.656196767156640625e+10 -1.575000000000000844e-01 4.000000000000000000e+02 -9.303713403453364062e+13 -9.303713403453979688e+13 5.000000000000000000e-01
-9.303713403453979688e+13 4.221490956830395508e+11 -1.600000000000000866e-01 4.000000000000000000e+02 -9.235083123787670312e+13 -9.235083123788285938e+13 9.100000000000000311e-01
-9.235083123788285938e+13 6.447244859987050781e+11 -1.625000000000000888e-01 4.000000000000000000e+02 -8.771073872218737500e+13 -8.771073872219353125e+13 1.280000000000000027e+00
-8.771073872219353125e+13 2.501095064977843750e+12 -1.650000000000000910e-01 4.000000000000000000e+02 -8.659074037968165625e+13 -8.659074037968781250e+13 1.754999999999999893e+00
-8.659074037968781250e+13 2.586866411437287598e+12 -1.675000000000000933e-01 4.000000000000000000e+02 -8.652488174128681250e+13 -8.652488174129296875e+13 9.449999999999999512e-01
-8.652488174129296875e+13 2.764291209101057617e+12 -1.700000000000000955e-01 4.000000000000000000e+02 -8.130588005949681250e+13 -8.130588005950296875e+13 1.719999999999999973e+00
-8.130588005950296875e+13 2.468077420647676270e+12 -1.725000000000000977e-01 4.000000000000000000e+02 -8.033288579916468750e+13 -8.033288579917085938e+13 2.849999999999999756e-01
-8.033288579917085938e+13 2.620658759279816406e+12 -1.750000000000000999e-01 4.000000000000000000e+02 -7.870543074551037500e+13 -7.870543074551654688e+13 1.370000000000000107e+00
-7.870543074551654688e+13 2.153388142821273682e+12 -1.775000000000001021e-01 4.000000000000000000e+02 -7.638417863382492188e+13 -7.638417863383109375e+13 1.510000000000000009e+00
-7.638417863383109375e+13 1.553079678598384277e+12 -1.800000000000001044e-01 4.000000000000000000e+02 -7.089006705229460938e+13 -7.089006705230078125e+13 3.750000000000000000e-01
-7.089006705230078125e+13 3.487286195321512695e+12 -1.825000000000001066e-01 4.000000000000000000e+02 -7.074961856598626562e+13 -7.074961856599243750e+13 1.959999999999999964e+00
-7.074961856599243750e+13 3.513726845473545410e+12 -1.850000000000001088e-01 4.000000000000000000e+02 -6.488015188168112500e+13 -6.488015188168730469e+13 7.000000000000000666e-02
-6.488015188168730469e+13 3.708849396097583496e+12 -1.875000000000001110e-01 4.000000000000000000e+02 -6.285138292854369531e+13 -6.285138292854987500e+13 2.000000000000000111e-01
-6.285138292854987500e+13 2.888880779804441895e+12 -1.900000000000001132e-01 4.000000000000000000e+02 -6.261254792849170312e+13 -6.261254792849788281e+13 1.179999999999999938e+00
-6.261254792849788281e+13 2.276692826082152832e+12 -1.925000000000001155e-01 4.000000000000000000e+02 -6.224019686180845312e+13 -6.224019686181464062e+13 1.939999999999999947e+00
-6.224019686181464062e+13 7.310255787658157534e-01 -1.950000000000001177e-01 4.000000000000000000e+02 -6.223807542129010156e+13 -6.223807542129628906e+13 1.524999999999999911e+00
-6.223807542129628906e+13 1.045884279902955174e+09 -1.975000000000001199e-01 4.000000000000000000e+02 -6.211332991344872656e+13 -6.211332991345491406e+13 1.520000000000000018e+00
-6.211332991345491406e+13 6.192235256092759705e+10 -2.000000000000001221e-01 4.000000000000000000e+02 -6.159717312218042969e+13 -6.159717312218662500e+13 1.014999999999999902e+00
-6.159717312218662500e+13 2.602102502158862610e+11 -2.025000000000001243e-01 4.000000000000000000e+02 -6.148183732678061719e+13 -6.148183732678681250e+13 3.300000000000000155e-01
-6.148183732678681250e+13 1.729798658099433594e+11 -2.050000000000001266e-01 4.000000000000000000e+02 -6.058781286221474219e+13 -6.058781286222093750e+13 1.024999999999999911e+00
-6.058781286222093750e+13 4.678172587797568970e+11 -2.075000000000001288e-01 4.000000000000000000e+02 -6.007672459504450781e+13 -6.007672459505071094e+13 1.729999999999999982e+00
-6.007672459505071094e+13 4.373634047468920288e+11 -2.100000000000001310e-01 4.000000000000000000e+02 -5.930509600498285938e+13 -5.930509600498906250e+13 3.649999999999999911e-01
-5.930509600498906250e+13 4.253109770293739624e+11 -2.125000000000001332e-01 4.000000000000000000e+02 -5.880119666499810156e+13 -5.880119666500430469e+13 1.524999999999999911e+00
-5.880119666500430469e+13 5.002432703459849854e+11 -2.150000000000001354e-01 4.000000000000000000e+02 -5.848226107684368750e+13 -5.848226107684989844e+13 7.149999999999999689e-01
-5.848226107684989844e+13 3.059149962844626465e+11 -2.175000000000001377e-01 4.000000000000000000e+02 -5.746225916595429688e+13 -5.746225916596050781e+13 1.804999999999999938e+00
-5.746225916596050781e+13 7.028647900845538330e+11 -2.200000000000001399e-01 4.000000000000000000e+02 -5.740322119931289844e+13 -5.740322119931910938e+13 1.330000000000000071e+00
-5.740322119931910938e+13 4.002608885442659302e+11 -2.225000000000001421e-01 4.000000000000000000e+02 -5.725305113515761719e+13 -5.725305113516383594e+13 1.169999999999999929e+00
-5.725305113516383594e+13 3.319286773194328003e+11 -2.250000000000001443e-01 4.000000000000000000e+02 -5.663028810705115625e+13 -5.663028810705737500e+13 5.649999999999999467e-01
